row_ord	rule_label	bucket	anchor_file	anchor_line	quote_fragment	superseded_by	contradicts_row	concrete_case	winner	notes
1	unlabeled	LIVE	docs/strategy-taxonomy.md	16	A bot is always '**Pillar · Role**', e.g. 'Iron Condor · Live-candidate'.	-	-	-	-	-
2	unlabeled	LIVE	docs/strategy-taxonomy.md	33	A **morning go/no-go router** classifies the session and routes it: **chop → Iron Condor**, **high-vol → Directional**.	-	-	-	-	wrapped 33-34
3	unlabeled	LIVE	docs/strategy-taxonomy.md	47	Two experiments run head-to-head for the high-vol slot, decided by live data	-	-	-	-	wrapped 47-48
4	unlabeled	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	56	Bots stay here (they do NOT graduate out).	-	CLAUDE.md §1	If a mirror bot is funded and kept in the Mirror pillar, `strategy-taxonomy.md` row 4 is satisfied, but `CLAUDE.md` §1 labels the OA-Mirror pillar as 'watch-only,' so the funding violates the watch-only rule.	docs/build-plan.md §3	"Pillars: **IC** (focus), **Directional**, **OA-Mirror** (watch-only), **Research/backtest**." (CLAUDE.md §1, line 6)
5	Graduation bar (paper → funded)	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	59	≥20 trades **and** positive P/L **and** win-rate within ~10% of the source's claim **and** max drawdown under the risk cap.	-	CLAUDE.md §1	If a mirror bot is funded because it clears the ≥20-trade / positive-P&L / win-rate graduation bar, `strategy-taxonomy.md` row 5 is satisfied, but `CLAUDE.md` §1 labels the OA-Mirror pillar as 'watch-only,' so the funding violates the watch-only rule.	docs/build-plan.md §3	"Pillars: **IC** (focus), **Directional**, **OA-Mirror** (watch-only), **Research/backtest**." (CLAUDE.md §1, line 6)
6	unlabeled	LIVE	docs/strategy-taxonomy.md	65	the role is a *variant of a defined pillar strategy*	-	-	-	-	wrapped 65-66
7	unlabeled	LIVE	docs/strategy-taxonomy.md	80	Graduation is a **role change, not a new bot**.	-	-	-	-	-
8	unlabeled	UNRESOLVED	docs/strategy-taxonomy.md	-	"**Pillar 3 only.**" — The Roles table, Mirror-watch row	-	-	-	-	fragment-too-short
9	unlabeled	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	87	**OA Bot Group = Pillar** — the four groups are `IC`, `Directional`, `OA-Mirror`, `Lab`.	-	docs/RULINGS.md R-2026-08-07-IC-GROUPS-BOTH-STAY	If we organize the OA account into only the four taxonomy groups and refuse to create or keep `IC-Focus`, we satisfy `strategy-taxonomy.md` row 9 but violate `R-2026-08-07-IC-GROUPS-BOTH-STAY` and `docs/oa-ops-runbook.md` §3, which say both `IC` and `IC-Focus` stay.	docs/RULINGS.md R-2026-08-07-IC-GROUPS-BOTH-STAY	"`IC`/`IC-Focus` — both groups stay; correcting the stale runbook §3 line is this session's item 3." (R-2026-08-07-IC-GROUPS-BOTH-STAY)
10	unlabeled	LIVE	docs/strategy-taxonomy.md	89	graduation is a retag, not a rename — names stay stable for a bot's whole life.	-	-	-	-	-
11	unlabeled	LIVE	docs/strategy-taxonomy.md	90	**Bot name = `Pillar-Underlying-Config-Hedge`**	-	-	-	-	-
12	unlabeled	LIVE	docs/strategy-taxonomy.md	108	It's a **standalone bot** only when it's a separate position that trades on its own	-	-	-	-	wrapped 108-109
13	unlabeled	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	113	1. **Backtest** the bracket on the champion's *clean SPX history*	-	docs/build-plan.md §2B / §2D	If we run the hedge tournament by creating parallel copies of the legacy champion and varying its hedge, `strategy-taxonomy.md` row 13 is satisfied, but `build-plan.md` §2B makes the champion an Exit-Option-free `ride+S2` control and §2D requires a greenfield family with shared automation and a single differing input, so the parallel-copy approach violates the build plan.	docs/build-plan.md §2D	"Greenfield IC family (4–8 bots) — the matched tournament: hard-PT vs trailing vs ride, arms differing in exactly one input value. Rebuilt hedge tournament arms — shared automation, shared inputs, same execution class, Range075 in the shared entry automation... No ranking until then." (build-plan.md §2D)
14	unlabeled	dead	docs/strategy-taxonomy.md	125	Reclassified to 'Iron Condor · Experiment'; superseded by the backtest tournament.	docs/build-plan.md §2D	-	-	-	explicitly retired in source at line 125: 'superseded by the backtest tournament'; current tournament is build-plan.md §2D
15	Build priority (decided 2026-06-08)	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	181	keep closing the **IC champion go-live gate** while standing up the two **Directional paper bots** now	-	docs/build-plan.md §2B	If we keep closing the IC champion go-live gate as `strategy-taxonomy.md` row 15 directs, we violate `build-plan.md` §2B because `IC-SPX-FastPT25-S2` is now a no-Exit-Option `ride+S2` control with PT25 removed, not a live-candidate to be released.	docs/build-plan.md §2B	"`IC-SPX-FastPT25-S2` ... **No new exit architecture. It is a control.** PT25 removed from the Open Position action explicitly..." (build-plan.md §2B, line 100)
16	unlabeled	SUPERSEDED-BUT-STILL-READS-AS-LIVE	docs/strategy-taxonomy.md	187	in the same change so the 214-trade history doesn't fork.	CLAUDE.md §3 DATA CUTOVER 2026-07-30	-	-	-	pre-cutover 214-trade count; wrapped 187-188
#RECONCILE declared=16 parsed=16 written=16
#TOOLS anchor_py_sha256=e20fed809784be2a8de86a4e49543bd71694ac3d902e5b77dc6ed6cd58c3f6aa
