date,bot,tag,lesson
2026-06-23,(session-log),entry-timing,"**Key lesson surfaced (6/17 vs 6/23):** Range075 protects against gap days (move visible at entry) but NOT against an intraday trend after entry — 6/17 opened +0.7%, passed filter, Fortress entered 1:31 and ate −$7,530; 6/23 gapped −3% pre-open so filter blocked. Naked-downside risk = ""quiet open, trend after 11am,"" the exact hole a stop-loss / long-vol overlay plugs."
2026-06-26,DIR-SPX-Put-Control,regime,"good loss — design held, tape unlucky"
2026-06-26,IC-SPX-FastPT25-S2,other,clean win
2026-06-26,IC-SPX-FastPT25-S2-130PM,regime,"good loss — design held, tape unlucky"
2026-06-26,IC-SPX-Fortress-Defang,regime,"good loss — design held, tape unlucky"
2026-06-26,IC-SPX-Fortress-Unstopped,regime,"good loss — design held, tape unlucky"
2026-06-26,QQQ-IC-0DTE-Fortress,hedge,naked breach rode to expiry — log a convexity/hedge candidate here
2026-06-26,QQQ-IC-0DTE-Fortress-NoPT50,hedge,naked breach rode to expiry — log a convexity/hedge candidate here
2026-06-29,3DTE $140-$350,other,clean win
2026-06-29,DIR-SPX-Put-Control,regime,"good loss — design held, tape unlucky"
2026-06-29,IC-SPX-FastPT25-S2,other,clean win
2026-06-29,Nigiri-Paper-v1,other,clean win
2026-06-30,60min-ORB-10W-Paper-v1,other,clean win
2026-06-30,DIR-SPX-CallVIXdrop,other,borderline; watch
2026-06-30,DIR-SPX-Put-Control,regime,"good loss — design held, tape unlucky"
2026-06-30,IC-SPX-FastPT25-S2,other,clean win
2026-06-30,IC-SPX-FastPT25-S2-130PM,other,borderline; watch
2026-06-30,IC-SPX-Fortress-Defang,regime,"good loss — design held, tape unlucky"
2026-06-30,IC-SPX-Fortress-Unstopped,regime,"good loss — design held, tape unlucky"
2026-06-30,Nigiri-Paper-v1,other,clean win
2026-06-30,Trendy-Paper-v1,other,clean win
2026-07-01,DIR-SPX-Put-Control,regime,"good loss — design held, tape unlucky"
2026-07-01,IC-SPX-FastPT25-S2,regime,"good loss — design held, tape unlucky"
2026-07-01,IC-SPX-FastPT25-S2-130PM,other,borderline; watch
2026-07-01,IC-SPX-Fortress-Defang,other,clean win
2026-07-01,IC-SPX-Fortress-Unstopped,other,clean win
2026-07-01,Nigiri-Paper-v1,other,borderline; watch
2026-07-02,DIR-SPX-CallVIXdrop,regime,"good loss — design held, tape unlucky"
2026-07-02,DIR-SPX-Put-Control,other,borderline; watch
2026-07-02,IC-SPX-FastPT25-S2,regime,"good loss — design held, tape unlucky"
2026-07-02,IC-SPX-FastPT25-S2-130PM,other,borderline; watch
2026-07-02,IC-SPX-Fortress-Defang,other,clean win
2026-07-02,IC-SPX-Fortress-Unstopped,other,clean win
