date	bot	pr_id	verdict	reason
2026-08-08	3DTE $140-$350	PR-07	UNEVALUABLE_BY_DESIGN	no registered entry gate; empty tape: no underlyings
2026-08-08	60min-ORB-10W-Paper-v1	PR-12	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	DIR-SPX-CallVIXdrop	PR-06	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	DIR-SPX-PutVIX22-SL75	PR-05	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	Friday 14 DTE Broken Wing IB (B-70)	PR-10	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-Canary	PR-20	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-PT50	PR-15	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-Ride	PR-14	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-Ride-Delta	PR-23	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-SL100	PR-18	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-SL200	PR-19	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-Touch0	PR-17	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	GF-QQQ-IC-Trail	PR-16	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	IC-SPX-FastPT25-S2	PR-01	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	IC-SPX-FastPT25-S2-130PM	PR-02	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	IC-SPX-Fortress-Unstopped	INC-01	UNEVALUABLE_SOURCE	empty tape: no underlyings
2026-08-08	Nigiri-Paper-v1	PR-08	UNEVALUABLE_BY_DESIGN	no registered entry gate; empty tape: no underlyings
2026-08-08	QQQ-IC-0DTE-Fortress-NoPT50	PR-04	UNEVALUABLE_FLOOR	credit floor value unrecorded; empty tape: no underlyings
2026-08-08	Trendy-Paper-v1	PR-11	UNEVALUABLE_BY_DESIGN	no registered entry gate; empty tape: no underlyings
2026-08-10	DIR-SPX-CallVIXdrop	PR-06	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	DIR-SPX-PutVIX22-SL75	PR-05	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	Friday 14 DTE Broken Wing IB (B-70)	PR-10	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-Canary	PR-20	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-PT50	PR-15	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-Ride	PR-14	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-Ride-Delta	PR-23	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-SL100	PR-18	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-SL200	PR-19	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-Touch0	PR-17	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	GF-QQQ-IC-Trail	PR-16	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	IC-SPX-Fortress-Unstopped	INC-01	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	QQQ-IC-0DTE-Fortress-NoPT50	PR-04	UNEVALUABLE_FLOOR	credit floor value unrecorded; SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-10	Trendy-Paper-v1	PR-11	UNEVALUABLE_BY_DESIGN	no registered entry gate; SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-11	3DTE $140-$350	PR-07	UNEVALUABLE_BY_DESIGN	no registered entry gate; SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-11	DIR-SPX-CallVIXdrop	PR-06	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-11	DIR-SPX-PutVIX22-SL75	PR-05	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
2026-08-11	Friday 14 DTE Broken Wing IB (B-70)	PR-10	UNEVALUABLE_SOURCE	SPX source=reconstructed, not tradier; whole day UNEVALUABLE
