date,bot,trade_id,structure,pnl,risk,R,exit_declared,exit_fired,hedge_declared,hedge_fired,cause_class,cause_confidence,pnl_if_worked,R_if_worked,best_alt_mechanic,pnl_best_alt,R_best_alt,preempts_winner,evidence_gap
2026-06-08,IC-SPX-FastPT25-S2,T00161,shortputspread,-55,4895,-0.0112,PT25,N/A,S2,NOT FIRED,settings,CONFIRMED,605,0.1236,ride,605,0.1236,no,none - 2min Cleanup gate matches exactly
2026-06-09,IC-SPX-FastPT25-S2,T00152,shortputspread,-2255,4785,-0.4713,PT25,N/A,S2,FIRED,by_design,INFERRED,-2255,-0.4713,ride,715,0.1494,no,Trades list for 11:29 close
2026-06-10,IC-SPX-FastPT25-S2,T00149,shortputspread,-1620,4860,-0.3333,PT25,NOT FIRED,S2,FIRED,oa_execution,INFERRED,285,0.0586,PT50,570,0.1173,no,Trades list for T00149 (mechanism confirmed bot-wide; this case not order-level)
2026-06-11,IC-SPX-FastPT25-S2,T00146,shortcallspread,-1705,4125,-0.4133,PT25,NOT FIRED,S2,FIRED,oa_execution,INFERRED,344,0.0834,PT50,688,0.1668,no,Trades list for T00146 (mechanism confirmed bot-wide; this case not order-level)
2026-06-11,IC-SPX-FastPT25-S2,T00147,shortcallspread,-7740,4740,-1.6329,PT25,NOT FIRED,S2,FIRED,settings,CONFIRMED,-4740,-1.0000,SL50,-630,-0.1329,no,none - Trades list + Trade Details supplied
2026-06-24,IC-SPX-FastPT25-S2,T00095,shortputspread,-1950,4750,-0.4105,PT25,NOT FIRED,S2,FIRED,oa_execution,CONFIRMED,62,0.0131,PT25,62,0.0131,no,"none - Exit Options editor confirms PT25 attached, guard off"
2026-07-01,IC-SPX-FastPT25-S2,T00023,shortputspread,-50,4900,-0.0102,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,100,0.0204,ride,100,0.0204,no,none - Scalp-Mon-S2-Cleanup orphan loop confirmed
2026-07-01,IC-SPX-FastPT25-S2,T00024,shortputspread,-50,4900,-0.0102,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,100,0.0204,ride,100,0.0204,no,none - Scalp-Mon-S2-Cleanup orphan loop confirmed
2026-07-01,IC-SPX-FastPT25-S2,T00025,shortputspread,-50,4850,-0.0103,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,150,0.0309,ride,150,0.0309,no,none - Scalp-Mon-S2-Cleanup orphan loop confirmed
2026-07-01,IC-SPX-FastPT25-S2,T00027,shortputspread,-50,4850,-0.0103,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,150,0.0309,ride,150,0.0309,no,none - Scalp-Mon-S2-Cleanup orphan loop confirmed
2026-07-01,IC-SPX-FastPT25-S2,T00029,shortputspread,-50,4850,-0.0103,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,150,0.0309,ride,150,0.0309,no,none - Scalp-Mon-S2-Cleanup orphan loop confirmed
2026-07-01,IC-SPX-FastPT25-S2,T00030,shortputspread,-100,4850,-0.0206,PT25,NOT FIRED,S2,NOT FIRED,settings,CONFIRMED,150,0.0309,ride,150,0.0309,no,none - Scalp-Mon-S2-Cleanup logs supplied
2026-07-02,IC-SPX-FastPT25-S2,T00002,shortputspread,-1950,4650,-0.4194,PT25,N/A,S2,FIRED,by_design,CONFIRMED,-1950,-0.4194,ride,350,0.0753,no,none - Trades list + Trade Details supplied
2026-03-20,QQQ-IC-0DTE-HedgeD-Conditional,T00903,shortputspread,-2240,4928,-0.4545,PT50,NOT FIRED,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2240,-0.4545,PT50,336,0.0682,check: PT50 caps the 70 winners too,none - monitor tree + Exit Options supplied
2026-03-23,QQQ-IC-0DTE-HedgeD-Conditional,T00897,shortputspread,-2241,4914,-0.4560,PT50,N/A,Conditional (documented: $1 past strike SUSTAINED 10min),FIRED,settings,CONFIRMED,-2241,-0.4560,ride,-2214,-0.4505,no,none - monitor tree + Exit Options supplied
