window_start,window_end,date,bot,trade_id,rule,severity,axis,tier,observed,threshold,detail,verify_by
2026-03-05,2026-07-02,2026-06-01,IC-SPX-FastPT25-S2,,EXPIRY_RATIO_FLIP,RED,MECHANICS,S,40% expired over the last 10 vs 0% over the prior 300,jump >= 40% from a baseline <= 25%,first expiry of the onset window: 2026-06-01 (T00179); tripped on the position opened 2026-06-02. Positions stopped CLOSING and started EXPIRING — the signature of an exit that no longer generates orders,the Trades list of T00179 (2026-06-01): is there an exit order at all?
2026-03-05,2026-07-02,2026-06-12,QQQ-IC-0DTE-Fortress,,EXPIRY_RATIO_FLIP,RED,MECHANICS,S,50% expired over the last 10 vs 4% over the prior 25,jump >= 40% from a baseline <= 25%,first expiry of the onset window: 2026-06-12 (T00136); tripped on the position opened 2026-06-22. Positions stopped CLOSING and started EXPIRING — the signature of an exit that no longer generates orders,the Trades list of T00136 (2026-06-12): is there an exit order at all?
2026-03-05,2026-07-02,2026-06-12,QQQ-IC-0DTE-Fortress-NoPT50,,EXPIRY_RATIO_FLIP,RED,MECHANICS,S,40% expired over the last 10 vs 0% over the prior 18,jump >= 40% from a baseline <= 25%,first expiry of the onset window: 2026-06-12 (T00138); tripped on the position opened 2026-06-17. Positions stopped CLOSING and started EXPIRING — the signature of an exit that no longer generates orders,the Trades list of T00138 (2026-06-12): is there an exit order at all?
2026-03-05,2026-07-02,2026-06-11,IC-SPX-FastPT25-S2,T00147,FILL_WORSE_THAN_MAE,RED,MECHANICS,S,$5.05/contract (4.81 credits),$0.50 and 0.25 credits,exit 7.5 vs worst recorded mark 2.45 — the fill is outside the price path the position ever traded at,the Trades list: exit ORDER TYPE (Market vs SmartPricing) and fill time
2026-03-05,2026-07-02,2026-03-31,QQQ-IC-0DTE-Raw-HoldToExp,T00845,IMPOSSIBLE_FILL,RED,MECHANICS,S,R=-1.1050,R >= -1.0000,pnl -200 on risk 181 — a loss larger than max loss is structurally impossible for this spread,the position's Trades list + Trade Details (exit order type and fill)
2026-03-05,2026-07-02,2026-06-11,IC-SPX-FastPT25-S2,T00147,IMPOSSIBLE_FILL,RED,MECHANICS,S,R=-1.6329,R >= -1.0000,"pnl -7,740 on risk 4,740 — a loss larger than max loss is structurally impossible for this spread",the position's Trades list + Trade Details (exit order type and fill)
2026-03-05,2026-07-02,,IC-SPX-Fortress-Defang,,DUPLICATE_ARM,AMBER,FIRE,S,10 positions identical to IC-SPX-Fortress-Unstopped,< 5,'IC-SPX-Fortress-Defang' and 'IC-SPX-Fortress-Unstopped' produced identical P/L at an identical entry minute 10 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-03-05,2026-07-02,,QQQ-IC-0DTE-Fortress,,DUPLICATE_ARM,AMBER,FIRE,S,14 positions identical to QQQ-IC-0DTE-Fortress-NoPT50,< 5,'QQQ-IC-0DTE-Fortress' and 'QQQ-IC-0DTE-Fortress-NoPT50' produced identical P/L at an identical entry minute 14 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-03-05,2026-07-02,,QQQ-IC-0DTE-HedgeA-S1,,DUPLICATE_ARM,AMBER,FIRE,S,73 positions identical to QQQ-IC-0DTE-HedgeD-Conditional,< 5,'QQQ-IC-0DTE-HedgeA-S1' and 'QQQ-IC-0DTE-HedgeD-Conditional' produced identical P/L at an identical entry minute 73 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-03-05,2026-07-02,,QQQ-IC-0DTE-HedgeA-S1,,DUPLICATE_ARM,AMBER,FIRE,S,73 positions identical to QQQ-IC-0DTE-HedgeTest,< 5,'QQQ-IC-0DTE-HedgeA-S1' and 'QQQ-IC-0DTE-HedgeTest' produced identical P/L at an identical entry minute 73 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
