row_ord	rule_label	bucket	anchor_file	anchor_line	trimmed	quote_fragment	superseded_by	contradicts_row	concrete_case	winner	notes
1	unlabeled	LIVE	docs/strategy-taxonomy.md	16	0	A bot is always '**Pillar · Role**', e.g. 'Iron Condor · Live-candidate'.	-	-	-	-	-
2	unlabeled	LIVE	docs/strategy-taxonomy.md	33	0	A **morning go/no-go router** classifies the session and routes it: **chop → Iron Condor**, **high-vol → Directional**.	-	-	-	-	-
3	unlabeled	LIVE	docs/strategy-taxonomy.md	47	0	Two experiments run head-to-head for the high-vol slot, decided by live data	-	-	-	-	-
4	unlabeled	LIVE	docs/strategy-taxonomy.md	56	0	Bots stay here (they do NOT graduate out).	-	-	-	-	-
5	Graduation bar (paper → funded)	LIVE	docs/strategy-taxonomy.md	59	0	≥20 trades **and** positive P/L **and** win-rate within ~10% of the source's claim **and** max drawdown under the risk cap.	-	-	-	-	-
6	unlabeled	LIVE	docs/strategy-taxonomy.md	65	0	the role is a *variant of a defined pillar strategy*	-	-	-	-	-
7	unlabeled	LIVE	docs/strategy-taxonomy.md	80	0	Graduation is a **role change, not a new bot**.	-	-	-	-	-
8	unlabeled	UNRESOLVED	docs/strategy-taxonomy.md	-	0	"**Pillar 3 only.**" — The Roles table, Mirror-watch row	-	-	-	-	fragment-too-short; longest=14
9	unlabeled	LIVE	docs/strategy-taxonomy.md	87	0	**OA Bot Group = Pillar** — the four groups are `IC`, `Directional`, `OA-Mirror`, `Lab`.	-	-	-	-	-
10	unlabeled	LIVE	docs/strategy-taxonomy.md	89	0	graduation is a retag, not a rename — names stay stable for a bot's whole life.	-	-	-	-	-
11	unlabeled	LIVE	docs/strategy-taxonomy.md	90	0	**Bot name = `Pillar-Underlying-Config-Hedge`**	-	-	-	-	-
12	unlabeled	LIVE	docs/strategy-taxonomy.md	108	0	It's a **standalone bot** only when it's a separate position that trades on its own	-	-	-	-	-
13	unlabeled	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	113	0	1. **Backtest** the bracket on the champion's *clean SPX history*	-	docs/build-plan.md §2A / §2D / §4	If I follow this rule, I would run the hedge-selection tournament on the legacy champion's clean SPX history, narrow it to 1-2 survivors, and turn those survivors on as live parallel copies of the champion; if I follow build-plan §2A, the old QQQ hedge-family tournament is invalid as a selector and the family is archived directly, and under §4 the champion is a fresh control starting at n=0 with no pre-cutover history to backtest, and under §2D the rebuilt greenfield arms must be a matched set with no ranking until proof of matching, so the tournament cannot be run as described.	docs/build-plan.md	"HedgeA-S1" / "HedgeB-S2" / "HedgeC-S3" / "HedgeD-Conditional" / "HedgeTest" in the archive-directly, no-clone group, reason "Tournament invalid as a selector: S1≈D identical on 73/86 days, S3 a different execution class, no arm carries Range075"; "A fresh, pre-registered control arm starting at n=0."; "Rebuilt hedge tournament arms — shared automation, shared inputs, same execution class, Range075 as a preset. Proof of matching is a capture-diff showing one differing input. No ranking until then."
14	unlabeled	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	125	0	Reclassified to 'Iron Condor · Experiment'; superseded by the backtest tournament.	-	docs/build-plan.md §2A	If I follow this rule, I would keep the QQQ hedge family as five "Iron Condor · Experiment" bots and let the backtest tournament select which ones to run; if I follow build-plan §2A, the QQQ hedge family is archived directly with no clone because the tournament is invalid as a selector, so I must not keep them as experiments or let the tournament choose.	docs/build-plan.md	status Superseded; superseding authority (backtest tournament) invalidated by build-plan §2A; "HedgeA-S1" / "HedgeB-S2" / "HedgeC-S3" / "HedgeD-Conditional" / "HedgeTest" in the archive-directly, no-clone group, reason "Tournament invalid as a selector: S1≈D identical on 73/86 days, S3 a different execution class, no arm carries Range075"
15	Build priority (decided 2026-06-08)	CONTRADICTS-CANDIDATE	docs/strategy-taxonomy.md	181	0	keep closing the **IC champion go-live gate** while standing up the two **Directional paper bots** now	-	docs/build-plan.md §2B / §4	If I follow this build priority, I would continue working to close the IC champion's go-live gate and stand up two new Directional paper bots now; if I follow build-plan §2B/§4, the legacy champion is a fresh, pre-registered control arm with PT25 removed and no Exit Options, starting at n=0, so there is no champion go-live gate to close, and the plan's Directional slot is filled by two existing leave-in-place OOS-passed bots with no allocation for two new Directional paper bots.	docs/build-plan.md	"No new exit architecture. It is a control."; "PT25 removed from the Open Position action explicitly"; "A fresh, pre-registered control arm starting at n=0."
16	unlabeled	RETIRED-CANDIDATE	docs/strategy-taxonomy.md	187	0	in the same change so the 214-trade history doesn't fork.	CLAUDE.md §3 DATA CUTOVER 2026-07-30	-	-	-	cutover
#RECONCILE declared=16 parsed=16 written=16
#TOOLS anchor_py_sha256=973b68058e28b18b42ecbabb0641a923b4f2518358683c3df0f12c7341daa6e5
