row_ord	rule_label	bucket	anchor_file	anchor_line	quote_fragment	superseded_by	contradicts_row	winner	notes
1	unlabeled	LIVE	docs/strategy-taxonomy.md	16	A bot is always '**Pillar · Role**', e.g. 'Iron Condor · Live-candidate'.	-	-	-	-
2	unlabeled	LIVE	docs/strategy-taxonomy.md	33	A **morning go/no-go router** classifies the session and routes it: **chop → Iron Condor**, **high-vol → Directional**.	-	-	-	wrapped:33-34
3	unlabeled	LIVE	docs/strategy-taxonomy.md	47	Two experiments run head-to-head for the high-vol slot, decided by live data	-	-	-	wrapped:47-48
4	unlabeled	LIVE	docs/strategy-taxonomy.md	56	Bots stay here (they do NOT graduate out).	-	-	-	-
5	Graduation bar (paper → funded)	CONTRADICTS	docs/strategy-taxonomy.md	59	≥20 trades **and** positive P/L **and** win-rate within ~10% of the source's claim **and** max drawdown under the risk cap.	-	docs/build-plan.md §2 (Mirrors watch-only); CLAUDE.md §1 (OA-Mirror watch-only)	docs/build-plan.md §2	wrapped:59-60; conflict #4: OA-Mirror funded vs watch-only; build-plan: "Never refactored, watch-only."; CLAUDE.md §1: "OA-Mirror (watch-only)."
6	unlabeled	LIVE	docs/strategy-taxonomy.md	65	the role is a *variant of a defined pillar strategy*	-	-	-	wrapped:65-66
7	unlabeled	LIVE	docs/strategy-taxonomy.md	80	Graduation is a **role change, not a new bot**.	-	-	-	-
8	unlabeled	LIVE	docs/strategy-taxonomy.md	77	**Pillar 3 only.**	-	-	-	-
9	unlabeled	LIVE	docs/strategy-taxonomy.md	87	**OA Bot Group = Pillar** — the four groups are `IC`, `Directional`, `OA-Mirror`, `Lab`.	-	-	-	-
10	unlabeled	LIVE	docs/strategy-taxonomy.md	89	graduation is a retag, not a rename — names stay stable for a bot's whole life.	-	-	-	-
11	unlabeled	LIVE	docs/strategy-taxonomy.md	90	**Bot name = `Pillar-Underlying-Config-Hedge`**	-	-	-	-
12	unlabeled	LIVE	docs/strategy-taxonomy.md	108	It's a **standalone bot** only when it's a separate position that trades on its own	-	-	-	wrapped:108-109
13	unlabeled	LIVE	docs/strategy-taxonomy.md	113	1. **Backtest** the bracket on the champion's *clean SPX history*	-	-	-	-
14	unlabeled	SUPERSEDED-BUT-STILL-READS-AS-LIVE	docs/strategy-taxonomy.md	125	Reclassified to 'Iron Condor · Experiment'; superseded by the backtest tournament.	docs/strategy-taxonomy.md:112	-	-	rule text still standing; superseded by backtest tournament per source line 125
15	Build priority (decided 2026-06-08)	CONTRADICTS	docs/strategy-taxonomy.md	181	keep closing the **IC champion go-live gate** while standing up the two **Directional paper bots** now	-	docs/build-plan.md §2B (champion is control, PT25 removed); CLAUDE.md §5 (legacy champion Exit-Option-free ride+S2 control)	docs/build-plan.md §2B	wrapped:181-182; conflict #21 champion stale; build-plan §2B: "No new exit architecture. It is a control. PT25 removed from the Open Position action explicitly"; catalog rule says "open" but source quote says "closing"
16	unlabeled	SUPERSEDED-BUT-STILL-READS-AS-LIVE	docs/strategy-taxonomy.md	187	in the same change so the 214-trade history doesn't fork.	CLAUDE.md §3 DATA CUTOVER 2026-07-30; CLAUDE.md §1 (Scalp- out-of-scope)	-	-	wrapped:187-188; Scalp- bot name and 214-trade pre-cutover count in quote; rule still instructs move ledger keys on rename
#RECONCILE declared=16 parsed=16 written=16
