window_start,window_end,date,bot,trade_id,rule,severity,axis,tier,observed,threshold,detail,verify_by
2026-08-10,2026-09-16,2026-08-31,IC-SPX-FastPT25-S2,,EXPIRY_RATIO_FLIP,RED,MECHANICS,S,40% expired over the last 10 vs 0% over the prior 15,jump >= 40% from a baseline <= 25%,first expiry of the onset window: 2026-08-31 (T00694); tripped on the position opened 2026-09-10. Positions stopped CLOSING and started EXPIRING — the signature of an exit that no longer generates orders,the Trades list of T00694 (2026-08-31): is there an exit order at all?
2026-08-10,2026-09-16,,GF-QQQ-IC-Canary,,DUPLICATE_ARM,AMBER,FIRE,S,5 positions identical to GF-QQQ-IC-Trail,< 5,'GF-QQQ-IC-Canary' and 'GF-QQQ-IC-Trail' produced identical P/L at an identical entry minute 5 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride,,DUPLICATE_ARM,AMBER,FIRE,S,27 positions identical to GF-QQQ-IC-Touch0,< 5,'GF-QQQ-IC-Ride' and 'GF-QQQ-IC-Touch0' produced identical P/L at an identical entry minute 27 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride,,DUPLICATE_ARM,AMBER,FIRE,S,20 positions identical to GF-QQQ-IC-SL200,< 5,'GF-QQQ-IC-Ride' and 'GF-QQQ-IC-SL200' produced identical P/L at an identical entry minute 20 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride,,DUPLICATE_ARM,AMBER,FIRE,S,17 positions identical to GF-QQQ-IC-SL100,< 5,'GF-QQQ-IC-Ride' and 'GF-QQQ-IC-SL100' produced identical P/L at an identical entry minute 17 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride,,DUPLICATE_ARM,AMBER,FIRE,S,9 positions identical to GF-QQQ-IC-Ride-Delta,< 5,'GF-QQQ-IC-Ride' and 'GF-QQQ-IC-Ride-Delta' produced identical P/L at an identical entry minute 9 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride,,DUPLICATE_ARM,AMBER,FIRE,S,6 positions identical to GF-QQQ-IC-Trail,< 5,'GF-QQQ-IC-Ride' and 'GF-QQQ-IC-Trail' produced identical P/L at an identical entry minute 6 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride-Delta,,DUPLICATE_ARM,AMBER,FIRE,S,9 positions identical to GF-QQQ-IC-Touch0,< 5,'GF-QQQ-IC-Ride-Delta' and 'GF-QQQ-IC-Touch0' produced identical P/L at an identical entry minute 9 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride-Delta,,DUPLICATE_ARM,AMBER,FIRE,S,7 positions identical to GF-QQQ-IC-SL100,< 5,'GF-QQQ-IC-Ride-Delta' and 'GF-QQQ-IC-SL100' produced identical P/L at an identical entry minute 7 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Ride-Delta,,DUPLICATE_ARM,AMBER,FIRE,S,7 positions identical to GF-QQQ-IC-SL200,< 5,'GF-QQQ-IC-Ride-Delta' and 'GF-QQQ-IC-SL200' produced identical P/L at an identical entry minute 7 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-SL100,,DUPLICATE_ARM,AMBER,FIRE,S,18 positions identical to GF-QQQ-IC-SL200,< 5,'GF-QQQ-IC-SL100' and 'GF-QQQ-IC-SL200' produced identical P/L at an identical entry minute 18 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-SL100,,DUPLICATE_ARM,AMBER,FIRE,S,17 positions identical to GF-QQQ-IC-Touch0,< 5,'GF-QQQ-IC-SL100' and 'GF-QQQ-IC-Touch0' produced identical P/L at an identical entry minute 17 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-SL200,,DUPLICATE_ARM,AMBER,FIRE,S,20 positions identical to GF-QQQ-IC-Touch0,< 5,'GF-QQQ-IC-SL200' and 'GF-QQQ-IC-Touch0' produced identical P/L at an identical entry minute 20 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-SL200,,DUPLICATE_ARM,AMBER,FIRE,S,5 positions identical to GF-QQQ-IC-Trail,< 5,'GF-QQQ-IC-SL200' and 'GF-QQQ-IC-Trail' produced identical P/L at an identical entry minute 5 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,GF-QQQ-IC-Touch0,,DUPLICATE_ARM,AMBER,FIRE,S,6 positions identical to GF-QQQ-IC-Trail,< 5,'GF-QQQ-IC-Touch0' and 'GF-QQQ-IC-Trail' produced identical P/L at an identical entry minute 6 times — they are not independent arms and cannot be ranked against each other,a capture-diff of the two bots' automation trees
2026-08-10,2026-09-16,,DIR-SPX-PutVIX22-SL75,,SILENT_BOT,AMBER,FIRE,S,0 positions in the window,"1 position, or a scanner run in the logs","correctly-gated and switched-off are indistinguishable from position data — this is unverifiable here, not a failure",OA bot logs: a scanner run recorded with no entry closes this GREEN; zero log entries closes it RED
2026-08-10,2026-09-16,2026-08-10,60min-ORB-10W-Paper-v1,T00847,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-10 12:38),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-19,DIR-SPX-CallVIXdrop,T00804,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-19 11:28),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-20,GF-QQQ-IC-SL100,T00778,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-20 14:04),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-20,GF-QQQ-IC-SL200,T00776,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-20 14:07),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-21,60min-ORB-10W-Paper-v1,T00774,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-21 10:57),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-21,DIR-SPX-CallVIXdrop,T00769,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-21 14:10),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-26,GF-QQQ-IC-SL100,T00733,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-26 14:48),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-26,GF-QQQ-IC-SL200,T00735,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-26 15:05),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-26,IC-SPX-FastPT25-S2-130PM,T00740,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-26 15:05),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-27,DIR-SPX-CallVIXdrop,T00726,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-27 14:28),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-27,IC-SPX-FastPT25-S2,T00727,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-27 11:03),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
2026-08-10,2026-09-16,2026-08-27,IC-SPX-FastPT25-S2-130PM,T00725,CLOSED_AT_MAE,INFO,MECHANICS,S,mae_date == close_date (2026-08-27 14:28),close should not coincide with the worst mark,"the exit fired at the worst point of the position's life — expected for a stop, a finding for anything else",the Trades list: which mechanic generated the closing order
