bot,pillar,role,status,underlying,structure,dte,entry_time,filter,strike_selector,width,profit_target,stop_or_hedge,exit_pricing,reentry,notes
IC-SPX-FastPT25-S2,IC,live-candidate,ON,SPX,iron_condor,0,11:00,Range075 (±0.75% from prior close; skip FOMC),0.75% OTM,$5,PT25,S2 (close whole IC on short-strike touch),SmartPricing (S2 close switched Market->SmartPricing 2026-06-14; Fast/100% bid-ask),<=10,"Champion / primary go-no-go. Cash-settled, no flat-by-3:50."
IC-SPX-Fortress-Unstopped,IC,control,ON,SPX,iron_condor,0,13:30,Range075,0.75% OTM,$5,none,none — S2 StrikeTouch + Cleanup monitors turned OFF 2026-07-03 (now a true unstopped control). Historical CSV analysis: StrikeTouch stop NEVER fired; Cleanup churned 10/26 positions.,"bot Exit Options OFF -> exit in position exit-details (time-exit, like Fortress; confirm)","2 positions/day, 2 at once (Safeguards; = 1 IC/day). Alloc $50k.","Settings screenshot 2026-07-03: Symbols=SPX, Automations ON, Exit Options OFF, alloc $50k, 2 pos/day, 2 at once. Scanners Fortress-Scan-Put/Call ON. ⚠️ CONTROL-VALIDITY: the S2 StrikeTouch monitor is ACTIVE, so this is NOT a clean unstopped control despite role=control/hedge=Unstopped in bots_meta. Needs retag OR intent confirmation. Entry/filter/strike inferred from ic-strategy-reference (1:30, Range075, 0.75% OTM, $5)."
IC-SPX-Fortress-Defang,IC,experiment,ON,SPX,iron_condor,0,13:30,Range075,0.75% OTM,$5,none,Defang (Mon-ShortAt05 = $0.05 close-shorts) + S2-StrikeTouch + S2-Cleanup — monitors CONFIRMED present in .html,,1/side/day (Fortress-family guard; flow not expanded in save),"From .html 2026-07-03: Bot Group IC, Automations ON, scanners Defang-Scan-Put/Call, monitors Defang-Mon-ShortAt05 + S2-StrikeTouch + S2-Cleanup. Confirms the defang ($0.05 close-shorts) mechanic. Entry/filter/strike inferred from ic-strategy-reference (1:30, Range075, 0.75% OTM, $5)."
QQQ-IC-0DTE-Fortress,IC,experiment,ON,QQQ,iron_condor,0,13:30 (after 1:30pm),Range075 (±0.75%: change% > -0.75 AND < 0.75),0.75% below/above underlying,$2 ($2.00 below short leg),none (bot Exit Options OFF; no PT — supersedes bots_meta 'PT50'),"none (Monitors: none — downside-naked, CONFIRMED)","time-exit ~15:50 ET (10 min before close), MARKET pricing; bot Exit Options OFF — exit set in the position's exit-details",1/side/day (guarded: 'opened put/call side today' -> NO),"CONFIRMED from bot .html + Andy 2026-07-03: 2 scanners, monitors=none, QQQ 0DTE $2-wide 0.75% OTM, entry after 1:30, 1/side/day. Exit = 10-min-before-close MARKET (in position exit-details), NOT PT50 (bots_meta note is stale). Put-stop decision OVERDUE (3rd max-loss put breach 6/26)."
QQQ-IC-0DTE-Fortress-NoPT50,IC,experiment,ON,QQQ,iron_condor,0,13:30 (inferred from Fortress sibling),Range075 (±0.75%) (inferred),0.75% below/above underlying (inferred),$2,none,"none (Monitors: none — downside-naked, CONFIRMED)","time-exit ~15:50 ET, Market (inferred from Fortress; not in this save)",1/side/day (inferred from Fortress),"CONFIRMED from its own .html 2026-07-03: 2 scanners (FortNoPT-Scan-Put/Call), Monitors=none (downside-naked), $2. Entry/filter/strike/exit inferred from Fortress sibling — the save didn't expand the scanner. (35 closed, PF 0.82, avg loss -$1,873 = the naked-put breaches → put-stop decision.)"
IC-SPX-FastPT25-S2-130PM,IC,experiment,ON,SPX,iron_condor,0,13:30 (after 1:30pm — CONFIRMED),Range075 (±0.75%) + skip FOMC + min mid $0.08,short put -0.10 delta (delta-based; long $5 below) — CONFIRMED (NOT 0.75% OTM),$5,PT25 (Profits: 25%),S2 (Scalp-Mon-S2-StrikeTouch + Cleanup — CONFIRMED),"SmartPricing 75% of bid/ask; position size up to $5,000 risk",re-enter when 0 open put/call positions (after 1:30pm),"CONFIRMED from expanded Scalp-Scan-Put 2026-07-03. ⚠️ A/B NUANCE: strike = -0.10 delta (the 6/16 delta fix WAS applied) whereas the champion runs 0.75% OTM — so this A/B varies BOTH entry time (11:00 vs 1:30) AND strike-selection method (0.75% OTM vs 10-delta). Intentional per the 6/16 viability fix (delta keeps touch-probability matched at 1:30), but it's not a pure entry-time-only isolation — read the A/B with that caveat."
DIR-SPX-PutVIX22-SL75,Directional,experiment,ON,SPX,long_put_debit_spread,0,11:00,VIX >= 22,"long put ~ATM, short put $15 below",$15,PT100,SL75,"SmartPricing Fast, 100% bid/ask, no Market (config-verified from backtest)",0 (1 ct/day),"Locked champion (+9.2% RoR, PF 1.23). OOS holdout gates live capital. Paper $10k."
DIR-SPX-Put-Control,Directional,control,ON,SPX,long_put_debit_spread,0,11:00,none (trades every day ex half-days),"long put ~ATM, short put $15 below",$15,PT100,SL75,"SmartPricing Fast, 100% bid/ask, no Market (config-verified from backtest)",0,No-VIX control; MEANT to lose (-1.4% RoR) to prove the gate. Paper $10k.
DIR-SPX-CallVIXdrop,Directional,experiment,ON,SPX,long_call_debit_spread,0,11:00 (daily Entry-Scanner trigger — CONFIRMED),VIX Change% <= -2 (since prior close),"long call $0.01 above, short call $15 above",$15,none (ride to settlement),SL50,"SmartPricing 100% bid/ask, $.03 from mid, no Market (config-verified)",0,"From .html 2026-07-03: Bot Group Directional, AUTOMATIONS ON (CONFIRMED — was OFF at creation), entry = daily 11:00am trigger, scanners/monitors none (SL50 in Exit Options). Has traded (2 closed, +$360). Locked call champion (+21.9% RoR, PF 1.63; OOS-passed). Alloc $10k (per this snapshot)."
3DTE $140-$350,OA-Mirror,mirror-watch,ON,SPX,iron_condor,3,10:00-10:10,Return% threshold on waterfall,waterfall short strike $140->$350 in $10 tiers; first clearing Return% fires,$10,90% decay 0DTE (1pm gate) / 70% after day 1 (gate: price >= $0.50),"none (no stop, removed v8)",,1 at a time,Source jose78531. Avg loss ~10x avg win; 46% instance-profitability. Paper $5k.
Nigiri-Paper-v1,OA-Mirror,mirror-watch,ON,SPY,short_put_spread,DoW->nearest Fri (Mon4/Tue3/Wed2/Thu8/Fri7),scanner (DoW-routed),0.05-delta short entry,0.05 delta short,$5,75% default + 7-day accelerated (return% > 10x DIT),none by design (0-Day ITM check closes 3pm expiry),,1 at a time,"Source Alex D. $500 max loss/trade. Funding-watch LEADER (94%/32, +0.9% R, CI[+0.7,+1.2]). Paper $10k."
QQQ long call,OA-Mirror,mirror-watch,ON,QQQ,long_call_debit_spread,90,scanner (no time/day/VIX gate),binary: open if 90-DTE QQQ LC spread bid/ask < $0.50 available,"long 0.5 delta (ATM), short 0.1 delta (far OTM)",(0.5->0.1 delta),25% PT + 30-market-day time exit,none,,10 positions (10%-NL each),Source @johnb. All-time rank-1 mirror. Bull-regime dependent. Paper $30k.
