bot	doc	disposition	anchor_line	trimmed	quote	contradicts_doc	concrete_case	winner	notes
QQQ-IC-0DTE-Fortress-NoPT50	_slice-spec-C-bot-disposition-2026-08-20.md	NONE	91-92	0	Pilot bot: QQQ-IC-0DTE-Fortress-NoPT50 — chosen because it is armed ON while on the unsigned list				Slice specification; observation of armed + unsigned, not a project disposition
QQQ-IC-0DTE-Fortress-NoPT50	docs/build-plan.md	CLONE-THEN-ARCHIVE-ORIGINAL	103	0	| QQQ-IC-0DTE-Fortress-NoPT50 | 15:50 time exit + 15:52 Scheduled Event backstop. NO PT50. | RESOLVED 2026-07-30.				build-plan.md §2B: clone-to-spec; original is archived and the clone takes the production name
QQQ-IC-0DTE-Fortress-NoPT50	docs/pre-registration-ledger.md	UNSIGNED/GATED	399-400	0	THIS SIGNATURE DOES NOT AUTHORIZE SWITCH-ON. The bot stays OFF until that finding is ruled. See the S2b session-log entry.	docs/RULINGS.md	If the pre-registration signature says the bot stays OFF until S2b-R3 is ruled, then the ruling that flips it ARMED+ON cannot also hold.	docs/RULINGS.md	Ledger PR-04 entry is STATUS DRAFT — unsigned and explicitly withholds switch-on authorization; the open-gate finding has since been ruled
QQQ-IC-0DTE-Fortress-NoPT50	docs/RULINGS.md	ARMED	1803	0	applies_to: PR-04 (QQQ-IC-0DTE-Fortress-NoPT50) — ARMED + ON; its two Open Position actions	docs/pre-registration-ledger.md	If R-2026-08-09-S2B-R3-ARM-THEN-ON says PR-04 is ARMED+ON, then the pre-registration ledger's 'stays OFF until the finding is ruled' cannot also hold.	docs/RULINGS.md	Operational ruling arms exit options and switches PR-04 ON; also recorded R-2026-08-11 STAY ON while unsigned. Note R-2026-08-18-SELFTEST keeps PR-04 in the unsigned parser tuple until first passing position, which is a verification status, not an off command.
QQQ-IC-0DTE-Fortress-NoPT50	docs/state.md	UNSIGNED/GATED	21-23	0	As a result, STATUS.md now lists PR-02 (IC-SPX-FastPT25-S2-130PM) and PR-04 (QQQ-IC-0DTE-Fortress-NoPT50) in the UNSIGNED banner. They will move to signed once the owed first-trading-day capture (Step-6/Step-4 verification) is closed.	docs/RULINGS.md	If STATUS.md lists PR-04 in the UNSIGNED banner, it should not be switched on, yet the ruling says it is ARMED+ON.	docs/RULINGS.md	Latest dated state block (2026-08-17) lists PR-04 as unsigned; earlier blocks in the same file record 2026-08-09 ON and 2026-08-10 zero entries
QQQ-IC-0DTE-Fortress-NoPT50	docs/session-log.md	ARMED	10175-10176	0	QQQ-IC-0DTE-Fortress-NoPT50 (BOTfw5TkkCRF3017862038322323202) reads AUTOS ON / EXITS ON in both the 08-17 and 08-19 captures	docs/pre-registration-ledger.md	If the 2026-08-19 session log says PR-04 reads AUTOS ON / EXITS ON, the pre-registration ledger's 'stays OFF' cannot hold.	docs/RULINGS.md	First-hand session record 2026-08-19 confirms PR-04 AUTOS ON / EXITS ON while listed as unsigned
QQQ-IC-0DTE-Fortress-NoPT50	docs/portfolio-inbox-2026-08-19.md	ARMED	11	0	QQQ-IC-0DTE-Fortress-NoPT50 is armed while unsigned — sign it or disarm it	docs/pre-registration-ledger.md	If the 2026-08-19 inbox says PR-04 is armed (AUTOS ON / EXITS ON), the pre-registration ledger's 'stays OFF' cannot hold.	docs/RULINGS.md	Inbox I-06; two independent captures 48h apart show AUTOS ON / EXITS ON while the bot is in the UNSIGNED banner
QQQ-IC-0DTE-Fortress-NoPT50	docs/roster-mechanics-ruling.md	LIVE/ON	54	0	QQQ-IC-0DTE-Fortress-NoPT50 | BOTfw5TkkCRF3017862038322323202 | IC | experiment | QQQ | no | — | — | data/captures/2026-08-08-clones/PR-04-clone-final-2026-08-08.txt | e58db65fff3f0c69141eeb80a0db01791bfdf6b4dfbe8045d08493e06667bdc0 | live	docs/pre-registration-ledger.md	If the roster mechanics table lists PR-04 as live, the pre-registration ledger's 'stays OFF' cannot hold.	docs/RULINGS.md	Roster table row marks PR-04 live; full row includes capture hash and EXIT OPTIONS armed (expdays=0.01)
QQQ-IC-0DTE-Fortress-NoPT50	docs/strategy-taxonomy.md	LIVE/ON	140	0	QQQ-IC-0DTE-Fortress-NoPT50 | Experiment (no-PT) | QQQ | +$2,760 | ON	docs/pre-registration-ledger.md	If the strategy taxonomy lists PR-04 as ON, the pre-registration ledger's 'stays OFF' cannot hold.	docs/RULINGS.md	Strategy taxonomy table lists the bot as ON
QQQ-IC-0DTE-Fortress-NoPT50	docs/pending-tracker-items-2026-08-10.md	LIVE/ON	365	0	PR-02 + PR-04 STAY ON while unsigned — knowing exception to §5.	docs/pre-registration-ledger.md	If the 2026-08-11 tracker/ruling says PR-02 + PR-04 STAY ON, the pre-registration ledger's 'stays OFF' cannot hold.	docs/RULINGS.md	Tracker records Andy's 2026-08-11 ruling: PR-02 + PR-04 STAY ON while unsigned (knowing exception)
