# ALLBOTS PRE-STATE — T-50 archive sweep — 2026-09-07 18:42:46 UTC (14:42 ET)
# SOURCE: a5.bots.allbots hydrated client model, read in-page on https://app.optionalpha.com/bots
#   in Claude-in-Chrome "Browser 1". Object fields group/account flattened to their .name.
# PROVENANCE ANCHOR: the oa_grab_page.js innerText capture taken in the SAME page life
#   (name "Bots", stamp 2026-09-07-18-42-46, 44 sticon rows, 10290 chars)
#   sha256 = 2b9497a1ef0866d8bcf371e359e61cf3c7735c7fbe65f8a63b23af2c10fc08ec
#   computed IN-PAGE by crypto.subtle over the capture text. The innerText blob itself is NOT
#   stored byte-for-byte: the harness chunks JS return values and base64 transport is filtered,
#   so a byte-exact reconstruction could not be verified. This structured TSV is the PRE surface
#   the Evening-2 diff runs against (see README.md, DEVIATION 3).
# FOOTER, verbatim: '44 active bots • 6 left in your plan • Upgrade'
# ACCOUNT HEADER: TOTAL P/L -$83,731  RETURN % -3.8%  CLOSED P/L -$83,750  CLOSED % -3.8%
#                 CHANGE -$294  RISK $9,682  ALLOCATION $2,190,000  BETA WEIGHT 49.39
# ACCOUNT: every one of the 44 rows reads account = "Paper Trading". Zero Live rows. No TR ****4219.
#
name	id	group	seed	status	disableExits	posLimit	pcount	newpos	account	tags	closedCount
1-45pm-Sandwich-Paper-v1	BOTfw5TkkCRF3317782764426812572	Archive	10000	off	1	1	0	0	Paper Trading	mirror watch	9
3DTE $140-$350	BOTfw5TkkCRF2217765235512870291	OA-Mirror-Focus	5000	on	0	1	1	0	Paper Trading	mirror watch,focus oa mirror,pr 07	51
60min-ORB-10W-Paper-v1	BOTfw5TkkCRF3317782759988647731	Monitor	10000	on	0	1	0	0	Paper Trading	mirror watch,pr 12	22
DIR-SPX-CallVIXdrop	BOTfw5TkkCRF217824370390678863	Directional-Focus	10000	on	0	1	0	0	Paper Trading	experiment,focus directional,pr 06	8
DIR-SPX-Put-Control	BOTfw5TkkCRF217824312740732922	Monitor	10000	off	1	1	0	0	Paper Trading	experiment,control	5
DIR-SPX-PutVIX22-SL75	BOTfw5TkkCRF217824306963282811	Directional-Focus	10000	on	0	1	0	0	Paper Trading	experiment,focus directional,pr 05	0
Friday 14 DTE Broken Wing IB (B-70)	BOTfw5TkkCRF1017766446781407596	OA-Mirror-Focus	10000	on	0	1	1	0	Paper Trading	7 dte,14 dte,21 dte,mirror watch,focus oa mirror,pr 10	9
GF-QQQ-IC-Canary	BOTfw5TkkCRF4417860774419022836	GF-Family	2500	on	0	2	0	0	Paper Trading	experiment,gfam,arm canary,pr 20	18
GF-QQQ-IC-PT50	BOTfw5TkkCRF4417860738688735152	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm pt50,pr 15	18
GF-QQQ-IC-Ride	BOTfw5TkkCRF4417860701930934951	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm ride,pr 14	18
GF-QQQ-IC-Ride-Delta	BOTfw5TkkCRF1317864858068078811	GF-Family	2500	off	0	2	0	0	Paper Trading		18
GF-QQQ-IC-SL100	BOTfw5TkkCRF4417860767788927225	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm sl100,pr 18	18
GF-QQQ-IC-SL200	BOTfw5TkkCRF4417860785000861357	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm sl200,pr 19	18
GF-QQQ-IC-Touch0	BOTfw5TkkCRF4417860760818962144	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm touch0,pr 17	18
GF-QQQ-IC-Trail	BOTfw5TkkCRF4417860754672239833	GF-Family	10000	on	0	2	0	0	Paper Trading	experiment,gfam,arm trail,pr 16	18
IC-SPX-FastPT25-S2	BOTfw5TkkCRF4417860821948715488	IC-Focus	50000	on	1	2	0	0	Paper Trading	live candidate,focus ic,pr 01	21
IC-SPX-FastPT25-S2-130PM	BOTfw5TkkCRF3017861977616287731	IC-Focus	50000	on	1	2	0	0	Paper Trading	live candidate,focus ic,pr 02	38
IC-SPX-FastPT25-S2-130PM-ARCHIVED-2026-08-08	BOTfw5TkkCRF3717814485128334371	Archive	30000	off	1	10	0	0	Paper Trading		70
IC-SPX-FastPT25-S2-ARCHIVED-2026-08-07	BOTfw5TkkCRF1217757048550308561	Archive	50000	off	1	10	0	0	Paper Trading	live candidate,focus ic	364
IC-SPX-Fortress-Defang	BOTfw5TkkCRF3317787969081429752	Monitor	50000	off	1	2	0	0	Paper Trading	fortress defang,research,hedge variant,vacation test 2026 05,spx,experiment	26
IC-SPX-Fortress-Unstopped	BOTfw5TkkCRF3317787955825912621	Monitor	50000	on	1	2	0	0	Paper Trading	research,hedge variant,vacation test 2026 05,spx,fortress baseline,fortress defang,control	27
Nigiri-Paper-v1	BOTfw5TkkCRF1017766118057607741	OA-Mirror-Focus	10000	on	0	1	1	0	Paper Trading	mirror watch,focus oa mirror,pr 08	51
Opening Range Breakout 60m	BOTfw5TkkCRF1017766137341516344	Archive	10000	off	1	1	0	0	Paper Trading	mirror watch	19
QQQ long call	BOTfw5TkkCRF1017766424258604555	OA-Mirror-Focus	30000	off	1	10	0	0	Paper Trading	mirror watch,focus oa mirror,pr 09	10
QQQ-IC-0DTE-Baseline	BOTfw5TkkCRF3317727290514286611	Archive	100000	off	1	2	0	0	Paper Trading	control	43
QQQ-IC-0DTE-Fortress	BOTfw5TkkCRF2717857919585029021	Monitor	100000	off	1	2	0	0	Paper Trading	experiment,pr 03	0
