fact_id,area,page_title,page_url,claim,quote,tier,gap_flag,last_verified,page_fingerprint
OA-0001,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,"The Platform section index lists twelve sub-pages, in this order: Infrastructure & Security, Automations, Automation Behavior, Data Feeds, Order Handling, Bot Limitations, Supported Ticker Symbols, Supported Browsers, Supported Countries, Ex Dividend & Earnings Dates, Options Expiration Protocol, Autotrading Best Practices.","# Platform

- [Infrastructure & Security](https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security.md)",DOCUMENTED,,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0002,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,An automation is defined as conditional logic represented as a decision tree scheduled to run at a particular time.,"An automation is conditional logic, represented as a decision tree scheduled to run at a particular time.",DOCUMENTED,,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0003,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,The autotrading platform is browser-based.,The autotrading platform is browser-based to offer flexibility and accessibility to our users.,DOCUMENTED,,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0004,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,Option Alpha's brokerage partnerships make the autotrading platform available to traders in more than 120 countries.,Our brokerage partnerships bring our autotrading platform to traders in 120+ countries.,DOCUMENTED,,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0005,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,The projected ex-dividend dates published for Option Alpha's supported ETFs are estimations and subject to change.,"The frequency, schedule, and projected ex-dividend dates for Option Alpha's supported ETFs. Dates are an estimation and subject to change.",DOCUMENTED,,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0006,platform,Platform,https://docs.optionalpha.com/technical-documentation/platform,The index page does not state whether the twelve listed sub-pages constitute the complete Platform section or whether unlisted sub-pages exist.,,DOCS-SILENT,Is the 12-item list exhaustive for the Platform section?,2026-08-04,df293e4867bd3a820dc03d0802a2761069a9faade14d34ee5a74de5d08a17338
OA-0007,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The Option Alpha bot ecosystem is hosted entirely on Amazon Web Services.,"The Option Alpha bot ecosystem is hosted entirely on Amazon Web Services (AWS), located within the United States.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0008,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The AWS hosting is located within the United States.,"The Option Alpha bot ecosystem is hosted entirely on Amazon Web Services (AWS), located within the United States.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0009,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The front-end is written primarily in native JavaScript with minimal reliance on third-party frameworks.,"The front-end is written primarily in native JavaScript, with minimal reliance on third-party frameworks.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0010,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The back-end infrastructure is written entirely in Node.js and deployed across a large distributed network of servers.,"The back-end infrastructure is written entirely in Node.js and deployed across a large, distributed network of servers.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0011,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,Each Linux server runs an all-core turbo clock at 4.5 GHz.,Each Linux server runs an all-core turbo clock at 4.5 GHz to ensure automations and data are processed as fast as possible.,DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0012,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,"Bots are stateful, and after a network failure the system can be brought back online in seconds, resuming the exact state held prior to the failure.","Bots are stateful and in the unlikely event of a network failure, the entire system can be brought back online in a matter of seconds, resuming the exact state they were in prior to failure.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0013,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,"The platform auto-scales as new users join, using a horizontal scaling paradigm in which each user is allocated resources per bot service instance, with a predefined number of instances per server across n servers.","The entire platform is set up to auto-scale as new users join. We use a horizontal scaling paradigm, meaning that each user is allocated resources per bot service instance, with a predefined number of instances per server, across n servers.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0014,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,Each server is called a pod and each pod can handle m users.,"Each server is referred to as a pod, where each pod can handle m users.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0015,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,"The pod server network is monitored for resource usage, and Option Alpha can at any time re-scale users per bot service instance, instances per pod, and/or total pods to maintain network stability.","The entire network of pod servers is closely monitored for resource usage, and at any time we can re-scale the total number of users per bot service instance, instances per pod, and/or total pods to maintain network stability.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0016,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The platform runs entirely in the web browser with no software to download.,The autotrading platform offers cutting-edge technology directly inside your web browser. There is no software to download.,DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0017,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,Not all browsers are compatible with the platform because the developers leverage advanced features of Google's V8 JavaScript engine.,"Not all browsers are compatible with the platform. To provide users a consistently fast and extremely powerful web-based software, our developers leverage advanced features available to Google's V8 engine that runs JavaScript.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0018,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,The officially supported browser is Google Chrome.,"Therefore, the officially supported browser is Google Chrome.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
OA-0019,platform,Infrastructure & Security,https://docs.optionalpha.com/technical-documentation/platform/infrastructure-and-security,"Any browser running V8, such as Chromium-based Microsoft Edge, should in theory be fully compatible.","In theory, any browser running V8 (the new Chromium-based Microsoft Edge, for example), should be fully compatible.",DOCUMENTED,,2026-08-04,ccabea63ee41453c439e300e8be9678ee77629ae33c5edd2b566f99753973359
