Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Aug 16, 2024 9:45am","Aug 16, 2024 9:52am","SPX","Aug 16, 2024","longcall","long call 5,495","1","profits","440","4105","10.72","4105","NaN","41.05","40.6","41.5","45.45","45.2","45.7","4105","","5532.23","5537.96"
"Aug 19, 2024 9:45am","Aug 19, 2024 10:09am","SPX","Aug 19, 2024","longcall","long call 5,535","1","profits","330","3150","10.48","3150","NaN","31.5","31.2","31.8","34.8","34.4","35.2","3150","","5563.63","5568.04"
"Aug 20, 2024 9:45am","Aug 20, 2024 9:56am","SPX","Aug 20, 2024","longcall","long call 5,585","1","profits","355","3075","11.54","3075","NaN","30.75","30.5","31","34.3","34","34.6","3075","","5613.06","5617.25"
"Aug 21, 2024 9:45am","Aug 21, 2024 10:01am","SPX","Aug 21, 2024","longcall","long call 5,580","1","profits","405","3625","11.17","3625","NaN","36.25","36","36.5","40.3","39.8","40.8","3625","","5612.31","5617.82"
"Aug 22, 2024 9:45am","Aug 22, 2024 4:00pm","SPX","Aug 22, 2024","longcall","long call 5,605","1","expired","-3695","3695","-100","3695","NaN","36.95","36.4","37.5","0","","","3695","","5638.42","5570.64"
"Aug 26, 2024 9:45am","Aug 26, 2024 4:00pm","SPX","Aug 26, 2024","longcall","long call 5,620","1","expired","-2855","2855","-100","2855","NaN","28.55","28.1","29","0","","","2855","","5645.03","5616.84"
"Aug 27, 2024 9:45am","Aug 27, 2024 9:51am","SPX","Aug 27, 2024","longcall","long call 5,565","1","profits","570","3770","15.12","3770","NaN","37.7","37.4","38","43.4","42.7","44.1","3770","","5599.11","5605.5"
"Aug 28, 2024 9:45am","Aug 28, 2024 4:00pm","SPX","Aug 28, 2024","longcall","long call 5,590","1","expired","-3042","3260","-93.31","3260","NaN","32.6","32.4","32.8","2.18","","","3260","","5619.61","5592.18"
"Aug 29, 2024 9:45am","Aug 29, 2024 9:50am","SPX","Aug 29, 2024","longcall","long call 5,570","1","profits","710","4180","16.99","4180","NaN","41.8","41.5","42.1","48.9","48.6","49.2","4180","","5608.04","5617.45"
"Aug 30, 2024 9:45am","Aug 30, 2024 10:03am","SPX","Aug 30, 2024","longcall","long call 5,595","1","profits","385","3495","11.02","3495","NaN","34.95","34.5","35.4","38.8","38.5","39.1","3495","","5626.58","5631.06"
"Sep 4, 2024 9:45am","Sep 4, 2024 9:49am","SPX","Sep 4, 2024","longcall","long call 5,480","1","profits","550","4870","11.29","4870","NaN","48.7","48","49.4","54.2","53.9","54.5","4870","","5524.09","5529.41"
"Sep 5, 2024 9:45am","Sep 5, 2024 10:01am","SPX","Sep 5, 2024","longcall","long call 5,480","1","profits","900","4915","18.31","4915","NaN","49.15","48.8","49.5","58.15","57.5","58.8","4915","","5524.68","5536.64"
"Sep 10, 2024 9:45am","Sep 10, 2024 4:00pm","SPX","Sep 10, 2024","longcall","long call 5,450","1","expired","27","4525","0.6","4525","NaN","45.25","44.9","45.6","45.52","","","4525","","5491.44","5495.52"
"Sep 11, 2024 9:45am","Sep 11, 2024 12:40pm","SPX","Sep 11, 2024","longcall","long call 5,425","1","profits","645","4935","13.07","4935","NaN","49.35","49","49.7","55.8","55.4","56.2","4935","","5469.72","5479.75"
"Sep 12, 2024 9:45am","Sep 12, 2024 10:15am","SPX","Sep 12, 2024","longcall","long call 5,515","1","profits","495","4545","10.89","4545","NaN","45.45","45","45.9","50.4","50.2","50.6","4545","","5555.57","5561.85"
"Sep 13, 2024 9:45am","Sep 13, 2024 10:13am","SPX","Sep 13, 2024","longcall","long call 5,575","1","profits","620","4415","14.04","4415","NaN","44.15","44","44.3","50.35","49.9","50.8","4415","","5614.63","5622.56"
"Sep 16, 2024 9:45am","Sep 16, 2024 9:50am","SPX","Sep 16, 2024","longcall","long call 5,580","1","profits","640","3980","16.08","3980","NaN","39.8","39.6","40","46.2","45.9","46.5","3980","","5615.32","5622.65"
"Sep 17, 2024 9:45am","Sep 17, 2024 10:09am","SPX","Sep 17, 2024","longcall","long call 5,615","1","profits","565","4555","12.4","4555","NaN","45.55","45.3","45.8","51.2","50.9","51.5","4555","","5656.61","5664.24"
"Sep 19, 2024 9:45am","Sep 19, 2024 10:01am","SPX","Sep 19, 2024","longcall","long call 5,655","1","profits","515","4695","10.97","4695","NaN","46.95","46.6","47.3","52.1","51.3","52.9","4695","","5697.83","5702.88"
"Sep 20, 2024 9:45am","Sep 20, 2024 3:43pm","SPX","Sep 20, 2024","longcall","long call 5,665","1","profits","795","4100","19.39","4100","NaN","41","40.8","41.2","48.95","48.3","49.6","4100","","5701.46","5713.49"
"Sep 23, 2024 9:45am","Sep 23, 2024 10:09am","SPX","Sep 23, 2024","longcall","long call 5,680","1","profits","420","3585","11.72","3585","NaN","35.85","35.2","36.5","40.05","39.8","40.3","3585","","5712.39","5718.38"
"Sep 24, 2024 9:45am","Sep 24, 2024 11:53am","SPX","Sep 24, 2024","longcall","long call 5,695","1","profits","405","2920","13.87","2920","NaN","29.2","28.9","29.5","33.25","32.9","33.6","2920","","5721.31","5727.79"
"Sep 25, 2024 9:45am","Sep 25, 2024 10:03am","SPX","Sep 25, 2024","longcall","long call 5,710","1","profits","370","2770","13.36","2770","NaN","27.7","25.4","30","31.4","31.1","31.7","2770","","5735.74","5739.2"
"Sep 26, 2024 9:45am","Sep 26, 2024 4:00pm","SPX","Sep 26, 2024","longcall","long call 5,735","1","expired","-1673","2710","-61.73","2710","NaN","27.1","26.7","27.5","10.37","","","2710","","5758.3","5745.37"
"Sep 27, 2024 9:45am","Sep 27, 2024 10:01am","SPX","Sep 27, 2024","longcall","long call 5,720","1","profits","385","3380","11.39","3380","NaN","33.8","33.5","34.1","37.65","37.3","38","3380","","5750.82","5754.71"
"Sep 30, 2024 9:45am","Sep 30, 2024 11:05am","SPX","Sep 30, 2024","longcall","long call 5,700","1","profits","410","3590","11.42","3590","NaN","35.9","35.7","36.1","40","39.8","40.2","3590","","5731.57","5737.89"
"Oct 1, 2024 9:45am","Oct 1, 2024 4:00pm","SPX","Oct 1, 2024","longcall","long call 5,680","1","expired","-2055","4930","-41.68","4930","NaN","49.3","49","49.6","28.75","","","4930","","5724.28","5708.75"
"Oct 2, 2024 9:45am","Oct 2, 2024 9:47am","SPX","Oct 2, 2024","longcall","long call 5,635","1","profits","550","4400","12.5","4400","NaN","44","43.6","44.4","49.5","49.2","49.8","4400","","5674.11","5680.81"
"Oct 3, 2024 9:45am","Oct 3, 2024 9:58am","SPX","Oct 3, 2024","longcall","long call 5,655","1","profits","480","4360","11.01","4360","NaN","43.6","43.3","43.9","48.4","48.1","48.7","4360","","5693.87","5700.48"
"Oct 4, 2024 9:45am","Oct 4, 2024 3:56pm","SPX","Oct 4, 2024","longcall","long call 5,695","1","profits","560","4890","11.45","4890","NaN","48.9","48.5","49.3","54.5","53.5","55.5","4890","","5739.22","5749.1"
"Oct 7, 2024 9:45am","Oct 7, 2024 10:06am","SPX","Oct 7, 2024","longcall","long call 5,700","1","profits","360","3470","10.37","3470","NaN","34.7","34.4","35","38.3","38","38.6","3470","","5730.98","5736.47"
"Oct 8, 2024 9:45am","Oct 8, 2024 9:56am","SPX","Oct 8, 2024","longcall","long call 5,680","1","profits","555","4245","13.07","4245","NaN","42.45","42.2","42.7","48","47.7","48.3","4245","","5718.85","5725.26"
"Oct 9, 2024 9:45am","Oct 9, 2024 9:48am","SPX","Oct 9, 2024","longcall","long call 5,725","1","profits","310","3060","10.13","3060","NaN","30.6","30.4","30.8","33.7","33.5","33.9","3060","","5751.87","5755.35"
"Oct 10, 2024 9:45am","Oct 10, 2024 9:56am","SPX","Oct 10, 2024","longcall","long call 5,745","1","profits","430","3240","13.27","3240","NaN","32.4","32.2","32.6","36.7","36.5","36.9","3240","","5773.72","5779.26"
"Oct 11, 2024 9:45am","Oct 11, 2024 9:52am","SPX","Oct 11, 2024","longcall","long call 5,760","1","profits","320","3100","10.32","3100","NaN","31","30.8","31.2","34.2","33.9","34.5","3100","","5787.87","5791.91"
"Oct 14, 2024 9:45am","Oct 14, 2024 9:47am","SPX","Oct 14, 2024","longcall","long call 5,820","2","profits","560","4750","11.79","4750","NaN","23.75","23.5","24","26.55","26.2","26.9","2375","","5840.96","5844.01"
"Oct 15, 2024 9:45am","Oct 15, 2024 9:56am","SPX","Oct 15, 2024","longcall","long call 5,835","1","profits","330","3065","10.77","3065","NaN","30.65","30.4","30.9","33.95","33.7","34.2","3065","","5862.04","5867.46"
