# ROSTER + TOGGLE STATE — all 44 active bots, with bot IDs — 2026-08-17
# DERIVED FILE. Source of every field below: 01-oa-bots-capture-2026-08-17-195713.txt
#   (sha256 8d9c59b71858c97f43357595dd252d5bd4594a8ab20887da5cda120f64ccdf89), the /bots
#   bookmarklet capture taken Mon Aug 17 2026 19:57:13 GMT-0400 by Andy. Nothing here is typed
#   from memory and nothing is read from data/bots_meta.csv.
#
# METHOD (identical to data/captures/2026-08-08-audit/01-roster-toggles-43-2026-08-08.tsv):
#   AUTOS / EXITS are the `title` ATTRIBUTE of the two <i class="... sticon"> elements in each
#   /bots row (S0b-3 fix v2.1, ancestor-climb 2026-08-09):
#       AUTOS : "Scheduled automations are on|off"
#       EXITS : "Exit Options for positions managed by this bot are on|off"
#   The capture emits those 44 (bot_id, autos_title, exits_title) triples in /bots row order but
#   WITHOUT the bot name. Names are the 44 row names of the same capture's list table, in the
#   same order (19-line stride: 1 name + 18 values, verified against the column header block).
#
# JOIN PROOF — the pairing is NOT trusted to row order alone:
#   43 of the 44 (name, bot_id) pairs produced by the positional join are IDENTICAL to the
#   independently captured pairs in 01-roster-toggles-43-2026-08-08.tsv
#   (sha256 4e300dcb36a376cf607a51752bf2846ed13a0c976af04d128956fffc91f17771). Zero mismatches.
#   The single unmatched row is GF-QQQ-IC-Ride-Delta / BOTfw5TkkCRF1317864858068078811, the one
#   bot created after 2026-08-08 and therefore absent from that map — identified by elimination
#   (it is the only capture name absent from the 43-map and the only id absent from it).
#
# FOOTER, verbatim: "44 active bots • 6 left in your plan • Upgrade"
# Account header (capture text): TOTAL P/L -$84,776 · RISK $22,915 · ALLOCATION $2,145,000
#
# VERDICT
#   AUTOMATIONS ON  : 19 of 44
#   EXIT OPTIONS ON : 16 of 44
#   Delta vs the 2026-08-09 S2b final sweep (17 ON of 43): + IC-SPX-Fortress-Unstopped
#   (autos ON, exits OFF) and + GF-QQQ-IC-Ride-Delta (new bot, autos ON, exits ON).
#
# NOT IN THIS FILE: the two /bots toggle screenshots supplied in chat 2026-08-17 are NOT
#   committed here — see README-2026-08-17-r3.md.
#
# bot_name	bot_id	AUTOS	EXITS
1-45pm-Sandwich-Paper-v1	BOTfw5TkkCRF3317782764426812572	OFF	OFF
3DTE $140-$350	BOTfw5TkkCRF2217765235512870291	ON	ON
60min-ORB-10W-Paper-v1	BOTfw5TkkCRF3317782759988647731	ON	ON
DIR-SPX-CallVIXdrop	BOTfw5TkkCRF217824370390678863	ON	ON
DIR-SPX-Put-Control	BOTfw5TkkCRF217824312740732922	OFF	OFF
DIR-SPX-PutVIX22-SL75	BOTfw5TkkCRF217824306963282811	ON	ON
Friday 14 DTE Broken Wing IB (B-70)	BOTfw5TkkCRF1017766446781407596	ON	ON
GF-QQQ-IC-Canary	BOTfw5TkkCRF4417860774419022836	ON	ON
GF-QQQ-IC-PT50	BOTfw5TkkCRF4417860738688735152	ON	ON
GF-QQQ-IC-Ride	BOTfw5TkkCRF4417860701930934951	ON	ON
GF-QQQ-IC-Ride-Delta	BOTfw5TkkCRF1317864858068078811	ON	ON
GF-QQQ-IC-SL100	BOTfw5TkkCRF4417860767788927225	ON	ON
GF-QQQ-IC-SL200	BOTfw5TkkCRF4417860785000861357	ON	ON
GF-QQQ-IC-Touch0	BOTfw5TkkCRF4417860760818962144	ON	ON
GF-QQQ-IC-Trail	BOTfw5TkkCRF4417860754672239833	ON	ON
IC-SPX-FastPT25-S2	BOTfw5TkkCRF4417860821948715488	ON	OFF
IC-SPX-FastPT25-S2-130PM	BOTfw5TkkCRF3017861977616287731	ON	OFF
IC-SPX-FastPT25-S2-130PM-ARCHIVED-2026-08-08	BOTfw5TkkCRF3717814485128334371	OFF	OFF
IC-SPX-FastPT25-S2-ARCHIVED-2026-08-07	BOTfw5TkkCRF1217757048550308561	OFF	OFF
IC-SPX-Fortress-Defang	BOTfw5TkkCRF3317787969081429752	OFF	OFF
IC-SPX-Fortress-Unstopped	BOTfw5TkkCRF3317787955825912621	ON	OFF
Nigiri-Paper-v1	BOTfw5TkkCRF1017766118057607741	ON	ON
Opening Range Breakout 60m	BOTfw5TkkCRF1017766137341516344	OFF	OFF
QQQ long call	BOTfw5TkkCRF1017766424258604555	OFF	OFF
QQQ-IC-0DTE-Baseline	BOTfw5TkkCRF3317727290514286611	OFF	OFF
QQQ-IC-0DTE-Fortress	BOTfw5TkkCRF2717857919585029021	OFF	OFF
QQQ-IC-0DTE-Fortress-NoFilter	BOTfw5TkkCRF4517755108623629541	OFF	OFF
QQQ-IC-0DTE-Fortress-NoPT50	BOTfw5TkkCRF3017862038322323202	ON	ON
QQQ-IC-0DTE-Fortress-NoPT50-ARCHIVED-2026-08-08	BOTfw5TkkCRF2617743681996538301	OFF	OFF
QQQ-IC-0DTE-Fortress-S2	BOTfw5TkkCRF3217755946065115241	OFF	OFF
QQQ-IC-0DTE-HedgeA-S1	BOTfw5TkkCRF2717738719192568831	OFF	OFF
QQQ-IC-0DTE-HedgeB-S2	BOTfw5TkkCRF2717738721388027602	OFF	OFF
QQQ-IC-0DTE-HedgeC-S3	BOTfw5TkkCRF2717738721535026943	OFF	OFF
QQQ-IC-0DTE-HedgeD-Conditional	BOTfw5TkkCRF2717738721652044244	OFF	OFF
QQQ-IC-0DTE-HedgeTest	BOTfw5TkkCRF817734404268067862	OFF	OFF
QQQ-IC-0DTE-InverseFilter-HoldToExp	BOTfw5TkkCRF4517755118383321712	OFF	OFF
QQQ-IC-0DTE-Range075-PT50	BOTfw5TkkCRF2717738722042782917	OFF	OFF
QQQ-IC-0DTE-Range075-PT50-Wide2-1230PM	BOTfw5TkkCRF2617743684426809593	OFF	OFF
QQQ-IC-0DTE-Range075-PT50-Wide2-155PM	BOTfw5TkkCRF2717738721925710956	OFF	OFF
QQQ-IC-0DTE-Raw-HoldToExp	BOTfw5TkkCRF2617743683072748392	OFF	OFF
QQQ-IC-0DTE-VIX25-Range075-PT50	BOTfw5TkkCRF2717738721783221645	OFF	OFF
Tasty Condor	BOTfw5TkkCRF1017766126336204213	OFF	OFF
Trendy-Paper-v1	BOTfw5TkkCRF1017766118431160782	ON	ON
Weekly-IB-SPY-Paper-v1	BOTfw5TkkCRF3317782770973508333	OFF	OFF
